Timestep[1] 	 x_error[2] 	 command_torques[4] 	 joint_gravity[4] 	 effective_joint_gravity[4] 	 alpha[1]
0.084065	1.31778e-05 0.000405026	64.1295 33.6873 14.3219  3.9741	65.6297 34.4993 14.4195 4.01991	65.6297 34.4993 14.4195 4.01991	-0.727666	
0.0850608	1.32752e-05 0.000405913	64.1155 33.6794 14.3196 3.97346	65.6297  34.499 14.4195 4.01997	20.4047  12.814 10.2141 2.61043	-0.727666	
0.086062	1.33794e-05 0.000406823	64.1017 33.6718 14.3173 3.97283	65.6297  34.499 14.4195 4.01997	65.6295 34.4987 14.4194 4.02004	-0.727666	
0.0870606	1.34717e-05 0.000407592	64.0931 33.6669 14.3152 3.97229	65.6295 34.4987 14.4194 4.02004	20.4035 12.8132 10.2136 2.61037	-0.727666	
0.0880608	1.35527e-05 0.000408238	64.0798 33.6594  14.313 3.97169	65.6295 34.4983 14.4193 4.02011	20.4029 12.8128 10.2135 2.61042	-0.727666	
0.0890611	1.36405e-05 0.000408904	64.0617 33.6495 14.3107 3.97101	65.6294  34.498 14.4192 4.02017	 20.403 12.8129 10.2137 2.61058	-0.727666	
0.0900612	 1.3726e-05 0.000409517	 64.049 33.6423 14.3086 3.97044	65.6293 34.4977 14.4192 4.02023	20.4024 12.8125 10.2135 2.61063	-0.727666	
0.0910609	1.38092e-05 0.000410078	64.0366 33.6354 14.3065 3.96988	65.6292 34.4973 14.4191  4.0203	 65.629  34.497  14.419 4.02037	-0.727666	
0.0920757	1.38901e-05 0.000410588	64.0244 33.6285 14.3045 3.96933	 65.629  34.497  14.419 4.02037	20.4011 12.8117 10.2132 2.61073	-0.727666	
0.0930591	1.39688e-05 0.000411048	64.0125 33.6218 14.3024 3.96879	65.6288 34.4963 14.4188 4.02051	20.3998 12.8108 10.2129 2.61084	-0.727666	
0.0940594	1.40454e-05 0.000411459	64.0008 33.6152 14.3004 3.96827	65.6287 34.4959 14.4187 4.02058	65.6287 34.4959 14.4187 4.02058	-0.727666	
0.0950704	1.40454e-05 0.000411459	63.9894 33.6088 14.2985 3.96776	65.6287 34.4959 14.4187 4.02058	20.3991 12.8104 10.2128 2.61089	-0.727666	
0.0960619	1.41992e-05 0.000412166	63.9782 33.6025 14.2966 3.96726	65.6286 34.4955 14.4186 4.02066	20.3984 12.8099 10.2126 2.61095	-0.727666	
0.0970574	1.41992e-05 0.000412166	63.9726 33.5991 14.2949 3.96688	65.6285 34.4951 14.4186 4.02074	 20.397  12.809 10.2121 2.61088	-0.727666	
0.0980585	1.42694e-05  0.00041243	63.9618  33.593  14.293  3.9664	65.6283 34.4947 14.4185 4.02082	20.3963 12.8085  10.212 2.61094	-0.727666	
0.0990572	1.43377e-05 0.000412649	63.9512  33.587 14.2912 3.96594	65.6282 34.4943 14.4184  4.0209	20.3956 12.8081 10.2118   2.611	-0.727666	
0.100071	1.44625e-05 0.000412944	63.9408 33.5811 14.2894  3.9655	 65.628 34.4936 14.4182 4.02105	20.3948 12.8076 10.2118 2.61124	-0.727666	
0.101072	1.45255e-05 0.000413036	63.9253 33.5724 14.2875 3.96496	65.6278 34.4931 14.4181 4.02113	65.6278 34.4931 14.4181 4.02113	-0.727666	
0.102071	1.45867e-05 0.000413087	63.9155 33.5668 14.2858 3.96453	65.6277 34.4927  14.418 4.02121	20.3933 12.8066 10.2114 2.61136	-0.727666	
0.103074	 1.4646e-05 0.000413095	63.9059 33.5613 14.2841 3.96412	65.6276 34.4923 14.4179  4.0213	20.3925 12.8061 10.2112 2.61142	-0.727666	
0.104107	1.47036e-05 0.000413064	63.8966  33.556 14.2824 3.96372	65.6274 34.4919 14.4178 4.02138	20.3917 12.8056 10.2111 2.61148	-0.727666	
0.105058	1.47595e-05 0.000412992	63.8874 33.5507 14.2808 3.96333	65.6273 34.4914 14.4177 4.02147	20.3909 12.8051 10.2109 2.61154	-0.727666	
0.106057	1.48136e-05 0.000412881	63.8785 33.5456 14.2792 3.96296	65.6272  34.491 14.4176 4.02155	20.3901 12.8045 10.2107  2.6116	-0.727666	
0.107057	1.48661e-05 0.000412732	63.8698 33.5406 14.2776 3.96259	 65.627 34.4906 14.4175 4.02164	20.3892  12.804 10.2105 2.61167	-0.727666	
0.108057	 1.4917e-05 0.000412545	63.8614 33.5357  14.276 3.96224	65.6269 34.4901 14.4174 4.02173	20.3884 12.8034 10.2103 2.61173	-0.727666	
0.109057	1.49663e-05 0.000412321	63.8531 33.5308 14.2745 3.96189	65.6267 34.4897 14.4173 4.02183	20.3875 12.8029 10.2101  2.6118	-0.727666	
