Timestep[1] 	 x_error[2] 	 command_torques[4] 	 joint_gravity[4] 	 effective_joint_gravity[4] 	 alpha[1]
4.19606	-3.93159e-07 -3.10118e-07	 -1.12457 -0.213278   14.1742    4.3501	64.9895 32.8214 14.1742  4.3501	33.5773 21.4486 18.0643 5.99339	-0.7276	
4.19706	-3.93769e-07 -3.10158e-07	 -1.12457 -0.213276   14.1742    4.3501	64.9895 32.8214 14.1742  4.3501	33.5773 21.4486 18.0643 5.99339	-0.7276	
4.19806	-3.93769e-07 -3.10158e-07	 -1.12458 -0.213274   14.1742    4.3501	64.9895 32.8214 14.1742  4.3501	33.5773 21.4486 18.0643 5.99339	-0.7276	
4.19907	-3.94423e-07 -3.10198e-07	 -1.12458 -0.213272   14.1742    4.3501	64.9895 32.8214 14.1742  4.3501	33.5773 21.4486 18.0643 5.99339	-0.7276	
4.20006	-3.95033e-07 -3.10234e-07	-1.12459 -0.21327  14.1742   4.3501	64.9895 32.8214 14.1742  4.3501	33.5773 21.4486 18.0643 5.99339	-0.727601	
4.20106	-3.95642e-07 -3.10268e-07	 -1.12464 -0.213291   14.1742    4.3501	64.9895 32.8214 14.1742  4.3501	33.5773 21.4486 18.0643 5.99339	-0.727601	
4.20206	 -3.9624e-07 -3.10299e-07	 -1.12464 -0.213289   14.1742    4.3501	64.9895 32.8214 14.1742  4.3501	33.5773 21.4486 18.0643 5.99339	-0.727601	
4.20307	 -3.9684e-07 -3.10323e-07	 -1.12465 -0.213287   14.1742    4.3501	64.9895 32.8214 14.1742  4.3501	33.5773 21.4486 18.0643 5.99339	-0.727601	
4.20407	-3.97467e-07 -3.10343e-07	 -1.12465 -0.213284   14.1742    4.3501	64.9895 32.8214 14.1742  4.3501	33.5773 21.4486 18.0643 5.99339	-0.727601	
4.20507	-3.98656e-07 -3.10363e-07	 -1.12465 -0.213282   14.1742    4.3501	64.9895 32.8214 14.1742  4.3501	33.5773 21.4486 18.0643 5.99339	-0.727601	
4.20607	-3.98656e-07 -3.10363e-07	-1.12466 -0.21328  14.1742   4.3501	64.9895 32.8214 14.1742  4.3501	33.5773 21.4486 18.0643 5.99339	-0.727601	
4.20708	-3.99235e-07 -3.10366e-07	 -1.12467 -0.213278   14.1742    4.3501	64.9895 32.8214 14.1742  4.3501	33.5773 21.4486 18.0643 5.99339	-0.727601	
4.20807	-3.99849e-07 -3.10364e-07	 -1.12467 -0.213276   14.1742    4.3501	64.9895 32.8214 14.1742  4.3501	33.5773 21.4486 18.0643 5.99338	-0.727601	
4.20907	-4.00433e-07 -3.10358e-07	 -1.12468 -0.213273   14.1742    4.3501	64.9895 32.8214 14.1742  4.3501	33.5773 21.4486 18.0643 5.99338	-0.727601	
4.21007	-4.01023e-07 -3.10347e-07	 -1.12468 -0.213271   14.1742    4.3501	64.9895 32.8214 14.1742  4.3501	33.5773 21.4486 18.0643 5.99338	-0.727601	
4.21107	 -4.0161e-07 -3.10332e-07	 -1.12469 -0.213269   14.1742    4.3501	64.9895 32.8214 14.1742  4.3501	33.5773 21.4486 18.0643 5.99338	-0.727601	
4.21207	-4.02198e-07 -3.10314e-07	 -1.12469 -0.213267   14.1742    4.3501	64.9895 32.8214 14.1742  4.3501	33.5773 21.4486 18.0643 5.99338	-0.727601	
4.21307	-4.02787e-07 -3.10292e-07	  -1.1247 -0.213265   14.1742    4.3501	64.9895 32.8214 14.1742  4.3501	33.5773 21.4486 18.0643 5.99338	-0.727601	
4.21407	-4.03364e-07 -3.10268e-07	  -1.1247 -0.213262   14.1742    4.3501	64.9895 32.8214 14.1742  4.3501	33.5773 21.4486 18.0643 5.99338	-0.727601	
4.21507	-4.03946e-07  -3.1024e-07	-1.12471 -0.21326  14.1742   4.3501	64.9895 32.8214 14.1742  4.3501	33.5773 21.4486 18.0643 5.99338	-0.727601	
4.21607	-4.04527e-07  -3.1021e-07	 -1.12471 -0.213258   14.1742    4.3501	64.9895 32.8214 14.1742  4.3501	33.5773 21.4486 18.0643 5.99338	-0.727601	
4.21708	-4.05107e-07 -3.10178e-07	 -1.12472 -0.213256   14.1742    4.3501	64.9895 32.8214 14.1742  4.3501	33.5773 21.4486 18.0643 5.99338	-0.727601	
4.21807	 -4.0626e-07 -3.10108e-07	 -1.12472 -0.213254   14.1742    4.3501	64.9895 32.8214 14.1742  4.3501	64.9895 32.8214 14.1742  4.3501	-0.727601	
4.2191	 -4.0626e-07 -3.10108e-07	 -1.12473 -0.213252   14.1742    4.3501	64.9895 32.8214 14.1742  4.3501	33.5773 21.4486 18.0643 5.99338	-0.727601	
4.22012	-4.07407e-07 -3.10031e-07	-1.12473 -0.21325  14.1742   4.3501	64.9895 32.8214 14.1742  4.3501	64.9895 32.8214 14.1742  4.3501	-0.727601	
4.22111	-4.07964e-07  -3.0999e-07	 -1.12474 -0.213248   14.1742    4.3501	64.9895 32.8214 14.1742  4.3501	64.9895 32.8214 14.1742  4.3501	-0.727601	
4.22211	-4.08547e-07 -3.09945e-07	 -1.12474 -0.213245   14.1742    4.3501	64.9895 32.8214 14.1742  4.3501	64.9895 32.8214 14.1742  4.3501	-0.727601	
4.22312	-4.08547e-07 -3.09945e-07	 -1.12475 -0.213244   14.1742    4.3501	64.9895 32.8214 14.1742  4.3501	33.5773 21.4486 18.0643 5.99338	-0.727601	
4.22411	-4.09614e-07 -3.09861e-07	 -1.12475 -0.213241   14.1742    4.3501	64.9895 32.8214 14.1742  4.3501	33.5773 21.4486 18.0643 5.99338	-0.727601	
4.22511	-4.09614e-07 -3.09861e-07	-1.12476 -0.21324  14.1742   4.3501	64.9895 32.8214 14.1742  4.3501	33.5773 21.4486 18.0643 5.99338	-0.727601	
4.22611	-4.10816e-07 -3.09759e-07	 -1.12476 -0.213237   14.1742    4.3501	64.9895 32.8214 14.1742  4.3501	33.5773 21.4486 18.0643 5.99338	-0.727602	
4.22711	-4.10816e-07 -3.09759e-07	 -1.12481 -0.213259   14.1742    4.3501	64.9895 32.8214 14.1742  4.3501	33.5773 21.4486 18.0643 5.99338	-0.727602	
4.2281	-4.11936e-07 -3.09655e-07	 -1.12482 -0.213256   14.1742    4.3501	64.9895 32.8214 14.1742  4.3501	33.5773 21.4486 18.0643 5.99338	-0.727602	
4.22911	-4.12497e-07 -3.09595e-07	 -1.12482 -0.213254   14.1742    4.3501	64.9895 32.8214 14.1742  4.3501	33.5773 21.4486 18.0643 5.99338	-0.727602	
4.23011	-4.13053e-07 -3.09531e-07	 -1.12483 -0.213252   14.1742    4.3501	64.9895 32.8214 14.1742  4.3501	64.9895 32.8214 14.1742  4.3501	-0.727602	
4.2311	-4.13633e-07 -3.09459e-07	-1.12483 -0.21325  14.1742   4.3501	64.9895 32.8214 14.1742  4.3501	33.5773 21.4486 18.0643 5.99338	-0.727602	
4.2321	-4.14139e-07 -3.09392e-07	 -1.12484 -0.213247   14.1742    4.3501	64.9895 32.8214 14.1742  4.3501	33.5773 21.4486 18.0643 5.99338	-0.727602	
4.2331	-4.14691e-07 -3.09315e-07	 -1.12484 -0.213245   14.1742    4.3501	64.9895 32.8214 14.1742  4.3501	33.5773 21.4486 18.0643 5.99338	-0.727602	
4.23407	-4.15199e-07  -3.0924e-07	 -1.12485 -0.213243   14.1742    4.3501	64.9895 32.8214 14.1742  4.3501	64.9895 32.8214 14.1742  4.3501	-0.727602	
4.23507	-4.15813e-07 -3.09144e-07	 -1.12485 -0.213241   14.1742    4.3501	64.9895 32.8214 14.1742  4.3501	33.5773 21.4486 18.0643 5.99338	-0.727602	
4.23611	-4.16364e-07 -3.09056e-07	 -1.12486 -0.213239   14.1742    4.3501	64.9895 32.8214 14.1742  4.3501	64.9895 32.8214 14.1742  4.3501	-0.727602	
4.23711	-4.16908e-07 -3.08965e-07	 -1.12486 -0.213236   14.1742    4.3501	64.9895 32.8214 14.1742  4.3501	64.9895 32.8214 14.1742  4.3501	-0.727602	
4.23811	-4.17436e-07 -3.08874e-07	 -1.12487 -0.213234   14.1742    4.3501	64.9895 32.8214 14.1742  4.3501	64.9895 32.8214 14.1742  4.3501	-0.727602	
4.23911	-4.17436e-07 -3.08874e-07	 -1.12487 -0.213232   14.1742    4.3501	64.9895 32.8214 14.1742  4.3501	33.5773 21.4486 18.0643 5.99338	-0.727602	
4.24011	-4.18533e-07 -3.08678e-07	-1.12488 -0.21323  14.1742   4.3501	64.9895 32.8214 14.1742  4.3501	33.5773 21.4486 18.0643 5.99338	-0.727602	
4.24111	-4.18533e-07 -3.08678e-07	 -1.12488 -0.213228   14.1742    4.3501	64.9895 32.8214 14.1742  4.3501	33.5773 21.4486 18.0643 5.99338	-0.727602	
4.24212	-4.19608e-07 -3.08475e-07	 -1.12489 -0.213226   14.1742    4.3501	64.9895 32.8214 14.1742  4.3501	64.9895 32.8214 14.1742  4.3501	-0.727602	
4.24311	-4.20142e-07 -3.08372e-07	  -1.1249 -0.213223   14.1742    4.3501	64.9895 32.8214 14.1742  4.3501	64.9895 32.8214 14.1742  4.3501	-0.727602	
4.24411	-4.20676e-07 -3.08268e-07	  -1.1249 -0.213221   14.1742    4.3501	64.9895 32.8214 14.1742  4.3501	64.9895 32.8214 14.1742  4.3501	-0.727602	
4.24511	-4.21208e-07 -3.08163e-07	 -1.12491 -0.213219   14.1742    4.3501	64.9895 32.8214 14.1742  4.3501	64.9895 32.8214 14.1742  4.3501	-0.727602	
4.24611	-4.21744e-07 -3.08055e-07	 -1.12491 -0.213217   14.1742    4.3501	64.9895 32.8214 14.1742  4.3501	64.9895 32.8214 14.1742  4.3501	-0.727602	
4.24711	-4.22294e-07 -3.07944e-07	 -1.12492 -0.213215   14.1742    4.3501	64.9895 32.8214 14.1742  4.3501	33.5773 21.4486 18.0643 5.99338	-0.727602	
4.24811	-4.22821e-07 -3.07836e-07	 -1.12492 -0.213213   14.1742    4.3501	64.9895 32.8214 14.1742  4.3501	33.5773 21.4486 18.0643 5.99338	-0.727602	
4.24911	  -4.233e-07 -3.07738e-07	-1.12493 -0.21321  14.1742   4.3501	64.9895 32.8214 14.1742  4.3501	33.5773 21.4486 18.0643 5.99338	-0.727602	
4.25011	-4.23873e-07 -3.07621e-07	 -1.12493 -0.213208   14.1742    4.3501	64.9895 32.8214 14.1742  4.3501	33.5773 21.4486 18.0643 5.99338	-0.727602	
4.25107	-4.23873e-07 -3.07621e-07	 -1.12494 -0.213206   14.1742    4.3501	64.9895 32.8214 14.1742  4.3501	33.5773 21.4486 18.0643 5.99338	-0.727602	
4.25207	-4.24363e-07  -3.0752e-07	 -1.12494 -0.213204   14.1742    4.3501	64.9895 32.8214 14.1742  4.3501	33.5773 21.4486 18.0643 5.99338	-0.727603	
4.25311	-4.24888e-07 -3.07412e-07	 -1.12499 -0.213226   14.1742    4.3501	64.9895 32.8214 14.1742  4.3501	33.5773 21.4486 18.0643 5.99338	-0.727603	
4.25411	-4.25944e-07  -3.0719e-07	   -1.125 -0.213223   14.1742    4.3501	64.9895 32.8214 14.1742  4.3501	33.5773 21.4486 18.0643 5.99338	-0.727603	
4.25511	-4.25944e-07  -3.0719e-07	   -1.125 -0.213221   14.1742    4.3501	64.9895 32.8214 14.1742  4.3501	33.5773 21.4486 18.0643 5.99338	-0.727603	
4.25611	-4.26401e-07 -3.07088e-07	 -1.12501 -0.213219   14.1742    4.3501	64.9895 32.8214 14.1742  4.3501	33.5773 21.4486 18.0643 5.99338	-0.727603	
4.25711	-4.27494e-07 -3.06831e-07	 -1.12501 -0.213217   14.1742    4.3501	64.9895 32.8214 14.1742  4.3501	33.5773 21.4486 18.0643 5.99338	-0.727603	
4.25811	-4.27494e-07 -3.06831e-07	 -1.12502 -0.213214   14.1742    4.3501	64.9895 32.8214 14.1742  4.3501	33.5773 21.4486 18.0643 5.99338	-0.727603	
4.25912	-4.28031e-07 -3.06696e-07	 -1.12502 -0.213212   14.1742    4.3501	64.9895 32.8214 14.1742  4.3501	33.5773 21.4486 18.0643 5.99338	-0.727603	
4.26013	-4.29041e-07 -3.06436e-07	-1.12503 -0.21321  14.1742   4.3501	64.9895 32.8214 14.1742  4.3501	33.5773 21.4486 18.0643 5.99338	-0.727603	
4.26111	-4.29551e-07 -3.06301e-07	 -1.12503 -0.213208   14.1742    4.3501	64.9895 32.8214 14.1742  4.3501	33.5773 21.4486 18.0643 5.99338	-0.727603	
4.26211	-4.30036e-07  -3.0617e-07	 -1.12504 -0.213205   14.1742    4.3501	64.9895 32.8214 14.1742  4.3501	33.5773 21.4486 18.0643 5.99338	-0.727603	
4.26311	-4.30036e-07  -3.0617e-07	 -1.12505 -0.213203   14.1742    4.3501	64.9895 32.8214 14.1742  4.3501	33.5773 21.4486 18.0643 5.99337	-0.727603	
4.26411	-4.31071e-07 -3.05883e-07	 -1.12505 -0.213201   14.1742    4.3501	64.9895 32.8214 14.1742  4.3501	33.5773 21.4486 18.0643 5.99337	-0.727603	
4.26511	-4.31071e-07 -3.05883e-07	 -1.12506 -0.213199   14.1742    4.3501	64.9895 32.8214 14.1742  4.3501	33.5773 21.4486 18.0643 5.99337	-0.727603	
4.26607	-4.31555e-07 -3.05748e-07	 -1.12506 -0.213197   14.1742    4.3501	64.9895 32.8214 14.1742  4.3501	33.5773 21.4487 18.0643 5.99337	-0.727603	
4.26707	-4.3257e-07 -3.0546e-07	 -1.12507 -0.213194   14.1742    4.3501	64.9895 32.8214 14.1742  4.3501	33.5773 21.4487 18.0643 5.99337	-0.727603	
4.26807	-4.33056e-07  -3.0532e-07	 -1.12507 -0.213192   14.1742    4.3501	64.9895 32.8214 14.1742  4.3501	64.9895 32.8214 14.1742  4.3501	-0.727603	
4.26906	-4.33056e-07  -3.0532e-07	-1.12508 -0.21319  14.1742   4.3501	64.9895 32.8214 14.1742  4.3501	33.5773 21.4487 18.0643 5.99337	-0.727603	
4.27006	-4.33555e-07 -3.05175e-07	 -1.12508 -0.213188   14.1742    4.3501	64.9895 32.8214 14.1742  4.3501	33.5773 21.4487 18.0643 5.99337	-0.727603	
4.27106	-4.34067e-07 -3.05026e-07	 -1.12509 -0.213186   14.1742    4.3501	64.9895 32.8214 14.1742  4.3501	33.5773 21.4487 18.0643 5.99337	-0.727603	
4.27206	 -4.3455e-07 -3.04884e-07	 -1.12509 -0.213184   14.1742    4.3501	64.9895 32.8214 14.1742  4.3501	33.5773 21.4487 18.0643 5.99337	-0.727603	
4.27311	-4.35521e-07 -3.04601e-07	  -1.1251 -0.213182   14.1742   4.35011	64.9895 32.8214 14.1742  4.3501	64.9895 32.8214 14.1742  4.3501	-0.727603	
4.27412	 -4.3601e-07 -3.04458e-07	 -1.1251 -0.21318  14.1742  4.35011	64.9895 32.8214 14.1742  4.3501	64.9895 32.8214 14.1742  4.3501	-0.727603	
4.27511	-4.36517e-07 -3.04311e-07	 -1.12511 -0.213177   14.1742   4.35011	64.9895 32.8214 14.1742  4.3501	33.5773 21.4487 18.0643 5.99337	-0.727603	
4.27612	 -4.3701e-07 -3.04169e-07	 -1.12512 -0.213176   14.1742   4.35011	64.9895 32.8214 14.1742 4.35011	33.5773 21.4487 18.0643 5.99337	-0.727603	
4.27711	-4.37502e-07 -3.04027e-07	 -1.12512 -0.213173   14.1742   4.35011	64.9895 32.8214 14.1742 4.35011	33.5773 21.4487 18.0643 5.99337	-0.727604	
4.27811	-4.37983e-07 -3.03888e-07	 -1.12517 -0.213195   14.1742    4.3501	64.9895 32.8214 14.1742 4.35011	64.9895 32.8214 14.1742 4.35011	-0.727604	
4.27912	-4.38477e-07 -3.03742e-07	 -1.12518 -0.213192   14.1742    4.3501	64.9895 32.8214 14.1742 4.35011	33.5773 21.4487 18.0643 5.99337	-0.727604	
4.28011	 -4.3896e-07 -3.03595e-07	-1.12518 -0.21319  14.1742   4.3501	64.9895 32.8214 14.1742 4.35011	33.5773 21.4487 18.0643 5.99337	-0.727604	
4.28111	-4.39444e-07 -3.03443e-07	 -1.12519 -0.213188   14.1742    4.3501	64.9895 32.8214 14.1742 4.35011	33.5773 21.4487 18.0643 5.99337	-0.727604	
4.28211	-4.39926e-07 -3.03289e-07	 -1.12519 -0.213186   14.1742    4.3501	64.9895 32.8214 14.1742 4.35011	33.5773 21.4487 18.0643 5.99337	-0.727604	
4.28311	 -4.4041e-07 -3.03132e-07	  -1.1252 -0.213183   14.1742    4.3501	64.9895 32.8214 14.1742 4.35011	33.5773 21.4487 18.0643 5.99337	-0.727604	
4.28408	-4.40848e-07 -3.02986e-07	  -1.1252 -0.213181   14.1742    4.3501	64.9895 32.8214 14.1742 4.35011	64.9895 32.8214 14.1742 4.35011	-0.727604	
4.28507	-4.41384e-07 -3.02804e-07	 -1.12521 -0.213179   14.1742    4.3501	64.9895 32.8214 14.1742 4.35011	64.9895 32.8214 14.1742 4.35011	-0.727604	
4.28611	-4.41384e-07 -3.02804e-07	 -1.12521 -0.213176   14.1742    4.3501	64.9895 32.8214 14.1742 4.35011	33.5773 21.4487 18.0643 5.99337	-0.727604	
4.28711	-4.42296e-07 -3.02491e-07	 -1.12522 -0.213174   14.1742   4.35011	64.9895 32.8214 14.1742 4.35011	64.9895 32.8214 14.1742 4.35011	-0.727604	
4.28807	-4.42296e-07 -3.02491e-07	 -1.12522 -0.213172   14.1742   4.35011	64.9895 32.8214 14.1742 4.35011	33.5773 21.4487 18.0643 5.99337	-0.727604	
4.28907	-4.43269e-07 -3.02149e-07	-1.12523 -0.21317  14.1742  4.35011	64.9895 32.8214 14.1742 4.35011	33.5773 21.4487 18.0644 5.99337	-0.727604	
4.29007	-4.43741e-07 -3.01983e-07	 -1.12523 -0.213167   14.1742   4.35011	64.9895 32.8214 14.1742 4.35011	33.5773 21.4487 18.0644 5.99337	-0.727604	
4.29107	-4.44211e-07 -3.01815e-07	 -1.12524 -0.213165   14.1742   4.35011	64.9895 32.8214 14.1742 4.35011	33.5773 21.4487 18.0644 5.99337	-0.727604	
4.29207	-4.44211e-07 -3.01815e-07	 -1.12525 -0.213163   14.1742   4.35011	64.9895 32.8214 14.1742 4.35011	33.5773 21.4487 18.0644 5.99337	-0.727604	
4.29307	-4.44713e-07 -3.01636e-07	 -1.12525 -0.213161   14.1742   4.35011	64.9895 32.8214 14.1742 4.35011	33.5773 21.4487 18.0644 5.99337	-0.727604	
4.29407	-4.45629e-07 -3.01311e-07	 -1.12526 -0.213159   14.1742   4.35011	64.9895 32.8214 14.1742 4.35011	33.5773 21.4487 18.0644 5.99337	-0.727604	
4.29507	-4.46098e-07 -3.01143e-07	 -1.12526 -0.213157   14.1742   4.35011	64.9895 32.8214 14.1742 4.35011	33.5773 21.4487 18.0644 5.99337	-0.727604	
4.29607	-4.46561e-07 -3.00979e-07	 -1.12527 -0.213155   14.1742   4.35011	64.9895 32.8214 14.1742 4.35011	33.5773 21.4487 18.0644 5.99337	-0.727604	
4.29707	-4.46561e-07 -3.00979e-07	 -1.12527 -0.213152   14.1742   4.35011	64.9895 32.8214 14.1742 4.35011	33.5773 21.4487 18.0644 5.99337	-0.727604	
4.29807	-4.47452e-07 -3.00666e-07	-1.12528 -0.21315  14.1742  4.35011	64.9895 32.8214 14.1742 4.35011	33.5773 21.4487 18.0644 5.99337	-0.727604	
4.29907	-4.47452e-07 -3.00666e-07	 -1.12528 -0.213148   14.1742   4.35011	64.9895 32.8214 14.1742 4.35011	33.5773 21.4487 18.0644 5.99337	-0.727604	
4.30007	-4.48413e-07  -3.0033e-07	 -1.12529 -0.213146   14.1742   4.35011	64.9895 32.8214 14.1742 4.35011	33.5773 21.4487 18.0644 5.99337	-0.727604	
4.30107	-4.48864e-07 -3.00175e-07	 -1.12529 -0.213144   14.1742   4.35011	64.9895 32.8214 14.1742 4.35011	33.5773 21.4487 18.0644 5.99337	-0.727604	
4.30206	-4.48864e-07 -3.00175e-07	  -1.1253 -0.213142   14.1742   4.35011	64.9895 32.8214 14.1742 4.35011	33.5773 21.4487 18.0644 5.99337	-0.727605	
4.30307	-4.49323e-07 -3.00017e-07	 -1.12535 -0.213163   14.1742    4.3501	64.9895 32.8214 14.1742 4.35011	33.5773 21.4487 18.0644 5.99337	-0.727605	
4.30407	-4.49781e-07 -2.99862e-07	 -1.12536 -0.213161   14.1742   4.35011	64.9895 32.8214 14.1742 4.35011	33.5773 21.4487 18.0644 5.99337	-0.727605	
4.30511	-4.50653e-07 -2.99557e-07	 -1.12536 -0.213158   14.1742   4.35011	64.9895 32.8214 14.1742 4.35011	33.5773 21.4487 18.0644 5.99337	-0.727605	
4.30611	-4.51162e-07 -2.99374e-07	 -1.12537 -0.213156   14.1742   4.35011	64.9895 32.8214 14.1742 4.35011	64.9895 32.8214 14.1742 4.35011	-0.727605	
4.30711	-4.51617e-07 -2.99208e-07	 -1.12537 -0.213154   14.1742   4.35011	64.9895 32.8214 14.1742 4.35011	64.9895 32.8214 14.1742 4.35011	-0.727605	
4.30811	-4.52069e-07 -2.99041e-07	 -1.12538 -0.213152   14.1742   4.35011	64.9895 32.8214 14.1742 4.35011	64.9895 32.8214 14.1742 4.35011	-0.727605	
4.30911	-4.52069e-07 -2.99041e-07	 -1.12538 -0.213149   14.1742   4.35011	64.9895 32.8214 14.1742 4.35011	33.5774 21.4487 18.0644 5.99337	-0.727605	
4.31011	-4.52977e-07 -2.98697e-07	 -1.12539 -0.213147   14.1742   4.35011	64.9895 32.8214 14.1742 4.35011	33.5774 21.4487 18.0644 5.99337	-0.727605	
4.31111	-4.53379e-07 -2.98542e-07	 -1.12539 -0.213145   14.1742   4.35011	64.9895 32.8214 14.1742 4.35011	33.5774 21.4487 18.0644 5.99337	-0.727605	
4.31211	-4.53845e-07 -2.98363e-07	  -1.1254 -0.213143   14.1742   4.35011	64.9895 32.8214 14.1742 4.35011	33.5774 21.4487 18.0644 5.99337	-0.727605	
4.31311	-4.53845e-07 -2.98363e-07	  -1.1254 -0.213141   14.1742   4.35011	64.9895 32.8214 14.1742 4.35011	33.5774 21.4487 18.0644 5.99337	-0.727605	
4.31411	-4.54755e-07 -2.98008e-07	 -1.12541 -0.213138   14.1742   4.35011	64.9895 32.8214 14.1742 4.35011	33.5774 21.4487 18.0644 5.99337	-0.727605	
4.31511	-4.55197e-07 -2.97835e-07	 -1.12542 -0.213136   14.1742   4.35011	64.9895 32.8214 14.1742 4.35011	64.9895 32.8214 14.1742 4.35011	-0.727605	
4.31612	 -4.5564e-07 -2.97661e-07	 -1.12542 -0.213134   14.1742   4.35011	64.9895 32.8214 14.1742 4.35011	64.9895 32.8214 14.1742 4.35011	-0.727605	
4.31707	 -4.5564e-07 -2.97661e-07	 -1.12543 -0.213132   14.1742   4.35011	64.9895 32.8214 14.1742 4.35011	33.5774 21.4487 18.0644 5.99336	-0.727605	
4.31807	-4.56521e-07 -2.97316e-07	 -1.12543 -0.213129   14.1742   4.35011	64.9895 32.8214 14.1742 4.35011	33.5774 21.4487 18.0644 5.99336	-0.727605	
4.31911	-4.56963e-07 -2.97143e-07	 -1.12544 -0.213127   14.1742   4.35011	64.9895 32.8214 14.1742 4.35011	64.9895 32.8214 14.1742 4.35011	-0.727605	
4.32011	-4.57358e-07  -2.9699e-07	 -1.12544 -0.213125   14.1742   4.35011	64.9895 32.8214 14.1742 4.35011	64.9895 32.8214 14.1742 4.35011	-0.727605	
4.32112	-4.57825e-07  -2.9681e-07	 -1.12545 -0.213123   14.1742   4.35011	64.9895 32.8214 14.1742 4.35011	64.9895 32.8214 14.1742 4.35011	-0.727605	
4.32212	-4.58263e-07 -2.96641e-07	 -1.12545 -0.213121   14.1742   4.35011	64.9895 32.8214 14.1742 4.35011	64.9895 32.8214 14.1742 4.35011	-0.727605	
4.32311	-4.58678e-07 -2.96483e-07	 -1.12546 -0.213119   14.1742   4.35011	64.9895 32.8214 14.1742 4.35011	64.9895 32.8214 14.1742 4.35011	-0.727605	
4.32411	-4.59144e-07 -2.96306e-07	 -1.12547 -0.213117   14.1742   4.35011	64.9895 32.8214 14.1742 4.35011	64.9895 32.8214 14.1742 4.35011	-0.727605	
4.32511	-4.59581e-07 -2.96141e-07	 -1.12547 -0.213114   14.1742   4.35011	64.9894 32.8214 14.1742 4.35011	64.9894 32.8214 14.1742 4.35011	-0.727605	
4.32611	-4.59988e-07 -2.95989e-07	 -1.12548 -0.213112   14.1742   4.35011	64.9894 32.8214 14.1742 4.35011	64.9894 32.8214 14.1742 4.35011	-0.727605	
4.32711	-4.60444e-07 -2.95821e-07	-1.12548 -0.21311  14.1742  4.35011	64.9894 32.8214 14.1742 4.35011	64.9894 32.8214 14.1742 4.35011	-0.727606	
4.32812	-4.60877e-07 -2.95659e-07	 -1.12553 -0.213132   14.1742   4.35011	64.9894 32.8214 14.1742 4.35011	64.9894 32.8214 14.1742 4.35011	-0.727606	
4.32911	 -4.6131e-07 -2.95496e-07	 -1.12554 -0.213129   14.1742   4.35011	64.9894 32.8214 14.1742 4.35011	64.9894 32.8214 14.1742 4.35011	-0.727606	
4.33011	-4.61734e-07 -2.95333e-07	 -1.12554 -0.213127   14.1742   4.35011	64.9894 32.8214 14.1742 4.35011	33.5774 21.4487 18.0644 5.99336	-0.727606	
4.33111	-4.62131e-07 -2.95177e-07	 -1.12555 -0.213125   14.1742   4.35011	64.9894 32.8214 14.1742 4.35011	64.9894 32.8214 14.1742 4.35011	-0.727606	
4.33211	-4.62559e-07 -2.95008e-07	 -1.12555 -0.213122   14.1742   4.35011	64.9894 32.8214 14.1742 4.35011	64.9894 32.8214 14.1742 4.35011	-0.727606	
4.33311	-4.63008e-07 -2.94828e-07	-1.12556 -0.21312  14.1742  4.35011	64.9894 32.8214 14.1742 4.35011	64.9894 32.8214 14.1742 4.35011	-0.727606	
4.33411	-4.63379e-07 -2.94678e-07	 -1.12556 -0.213118   14.1742   4.35011	64.9894 32.8214 14.1742 4.35011	64.9894 32.8214 14.1742 4.35011	-0.727606	
4.33512	-4.63802e-07 -2.94503e-07	 -1.12557 -0.213116   14.1742   4.35011	64.9894 32.8214 14.1742 4.35011	64.9894 32.8214 14.1742 4.35011	-0.727606	
4.33611	-4.64232e-07 -2.94325e-07	 -1.12558 -0.213113   14.1742   4.35011	64.9894 32.8214 14.1742 4.35011	64.9894 32.8214 14.1742 4.35011	-0.727606	
4.33711	-4.64652e-07 -2.94151e-07	 -1.12558 -0.213111   14.1742   4.35011	64.9894 32.8214 14.1742 4.35011	64.9894 32.8214 14.1742 4.35011	-0.727606	
4.33811	-4.65097e-07 -2.93966e-07	 -1.12559 -0.213109   14.1742   4.35011	64.9894 32.8214 14.1742 4.35011	64.9894 32.8214 14.1742 4.35011	-0.727606	
4.33906	-4.65097e-07 -2.93966e-07	 -1.12559 -0.213106   14.1742   4.35011	64.9894 32.8214 14.1742 4.35011	33.5774 21.4487 18.0644 5.99336	-0.727606	
4.34011	-4.65526e-07 -2.93786e-07	  -1.1256 -0.213104   14.1742   4.35011	64.9894 32.8214 14.1742 4.35011	33.5774 21.4487 18.0644 5.99336	-0.727606	
4.34112	 -4.6595e-07 -2.93609e-07	  -1.1256 -0.213102   14.1742   4.35011	64.9894 32.8214 14.1742 4.35011	33.5774 21.4487 18.0644 5.99336	-0.727606	
4.34212	-4.66735e-07 -2.93281e-07	-1.12561  -0.2131  14.1742  4.35011	64.9894 32.8214 14.1742 4.35011	33.5774 21.4487 18.0644 5.99336	-0.727606	
4.34311	 -4.6718e-07 -2.93095e-07	 -1.12561 -0.213098   14.1742   4.35011	64.9894 32.8214 14.1742 4.35011	33.5774 21.4487 18.0644 5.99336	-0.727606	
4.34411	-4.67595e-07 -2.92921e-07	 -1.12562 -0.213095   14.1742   4.35011	64.9894 32.8214 14.1742 4.35011	33.5774 21.4487 18.0644 5.99336	-0.727606	
