Timestep[1] 	 x_error[2] 	 command_torques[4] 	 joint_gravity[4] 	 effective_joint_gravity[4] 	 alpha[1] 	 colinearity[1]
2.48811	-1.30986e-08 -2.75586e-08	25.4999 15.0557 13.8769 4.31035	65.3964 32.9615 13.8769 4.31035	26.3669 16.8377 14.0288 4.47382	0	-0.573936	
2.48911	-1.30336e-08 -2.74219e-08	25.4999 15.0557 13.8769 4.31035	65.3964 32.9615 13.8769 4.31035	26.3669 16.8377 14.0288 4.47382	0	-0.573936	
2.49011	-1.29655e-08 -2.72786e-08	25.4999 15.0557 13.8769 4.31035	65.3964 32.9615 13.8769 4.31035	26.3669 16.8377 14.0288 4.47382	0	-0.573936	
2.49111	-1.28968e-08 -2.71341e-08	25.4999 15.0557 13.8769 4.31035	65.3964 32.9615 13.8769 4.31035	26.3669 16.8377 14.0288 4.47382	0	-0.573936	
2.49211	-1.28348e-08 -2.70035e-08	25.4999 15.0557 13.8769 4.31035	65.3964 32.9615 13.8769 4.31035	26.3669 16.8377 14.0288 4.47382	0	-0.573936	
2.49311	  -1.278e-08 -2.68882e-08	25.4999 15.0557 13.8769 4.31035	65.3964 32.9615 13.8769 4.31035	26.3669 16.8377 14.0288 4.47382	0	-0.573936	
2.49411	-1.27144e-08 -2.67502e-08	25.4999 15.0557 13.8769 4.31035	65.3964 32.9615 13.8769 4.31035	26.3669 16.8377 14.0288 4.47382	0	-0.573936	
2.49511	-1.26479e-08 -2.66101e-08	25.4999 15.0557 13.8769 4.31035	65.3964 32.9615 13.8769 4.31035	26.3669 16.8377 14.0288 4.47382	0	-0.573936	
2.49611	 -1.2583e-08 -2.64736e-08	25.4999 15.0557 13.8769 4.31035	65.3964 32.9615 13.8769 4.31035	26.3669 16.8377 14.0288 4.47382	0	-0.573936	
2.49711	-1.25306e-08 -2.63635e-08	25.4999 15.0557 13.8769 4.31035	65.3964 32.9615 13.8769 4.31035	26.3669 16.8377 14.0288 4.47382	0	-0.573936	
2.49811	-1.24524e-08 -2.61987e-08	25.4999 15.0557 13.8769 4.31035	65.3964 32.9615 13.8769 4.31035	26.3669 16.8377 14.0288 4.47382	0	-0.573936	
2.49907	-1.23998e-08 -2.60883e-08	25.4999 15.0557 13.8769 4.31035	65.3964 32.9615 13.8769 4.31035	65.3964 32.9615 13.8769 4.31035	0	-0.573936	
2.50011	-1.23093e-08 -2.58976e-08	25.4999 15.0557 13.8769 4.31035	65.3964 32.9615 13.8769 4.31035	26.3669 16.8377 14.0288 4.47382	0	-0.573936	
2.50111	-1.22443e-08 -2.57608e-08	25.4999 15.0557 13.8769 4.31035	65.3964 32.9615 13.8769 4.31035	26.3669 16.8377 14.0288 4.47382	0	-0.573936	
2.50212	-1.21801e-08 -2.56256e-08	25.4999 15.0557 13.8769 4.31035	65.3964 32.9615 13.8769 4.31035	26.3669 16.8377 14.0288 4.47382	0	-0.573936	
2.50311	-1.21158e-08 -2.54904e-08	25.4999 15.0557 13.8769 4.31035	65.3964 32.9615 13.8769 4.31035	26.3669 16.8377 14.0288 4.47382	0	-0.573936	
2.50411	-1.20518e-08 -2.53555e-08	25.4999 15.0557 13.8769 4.31035	65.3964 32.9615 13.8769 4.31035	26.3669 16.8377 14.0288 4.47382	0	-0.573936	
2.50511	-1.19927e-08 -2.52311e-08	25.4999 15.0557 13.8769 4.31035	65.3964 32.9615 13.8769 4.31035	26.3669 16.8377 14.0288 4.47382	0	-0.573936	
2.50611	 -1.1924e-08 -2.50865e-08	25.4999 15.0557 13.8769 4.31035	65.3964 32.9615 13.8769 4.31035	26.3669 16.8377 14.0288 4.47382	0	-0.573936	
2.50711	-1.18602e-08 -2.49522e-08	25.4999 15.0557 13.8769 4.31035	65.3964 32.9615 13.8769 4.31035	26.3669 16.8377 14.0288 4.47382	0	-0.573936	
2.50808	-1.18011e-08 -2.48277e-08	25.4999 15.0557 13.8769 4.31035	65.3964 32.9615 13.8769 4.31035	26.3669 16.8377 14.0288 4.47382	0	-0.573936	
2.50911	-1.17334e-08  -2.4685e-08	25.4999 15.0557 13.8769 4.31035	65.3964 32.9615 13.8769 4.31035	26.3669 16.8377 14.0288 4.47382	0	-0.573936	
2.51007	-1.16702e-08 -2.45518e-08	25.4999 15.0557 13.8769 4.31035	65.3964 32.9615 13.8769 4.31035	26.3669 16.8377 14.0288 4.47382	0	-0.573936	
2.51111	 -1.1601e-08 -2.44061e-08	25.4999 15.0557 13.8769 4.31035	65.3964 32.9615 13.8769 4.31035	26.3669 16.8377 14.0288 4.47382	0	-0.573936	
2.51207	-1.15399e-08 -2.42771e-08	25.4999 15.0557 13.8769 4.31035	65.3964 32.9615 13.8769 4.31035	65.3964 32.9615 13.8769 4.31035	0	-0.573936	
2.51306	-1.14776e-08 -2.41458e-08	25.4999 15.0557 13.8769 4.31035	65.3964 32.9615 13.8769 4.31035	65.3964 32.9615 13.8769 4.31035	0	-0.573936	
2.51406	-1.14215e-08 -2.40276e-08	25.4999 15.0557 13.8769 4.31035	65.3964 32.9615 13.8769 4.31035	26.3669 16.8377 14.0288 4.47382	0	-0.573936	
2.51506	-1.13532e-08 -2.38835e-08	25.4999 15.0557 13.8769 4.31035	65.3964 32.9615 13.8769 4.31035	65.3964 32.9615 13.8769 4.31035	0	-0.573936	
2.51606	-1.12911e-08 -2.37525e-08	25.4999 15.0557 13.8769 4.31035	65.3964 32.9615 13.8769 4.31035	65.3964 32.9615 13.8769 4.31035	0	-0.573936	
2.51706	-1.12353e-08 -2.36348e-08	25.4999 15.0557 13.8769 4.31035	65.3964 32.9615 13.8769 4.31035	26.3669 16.8377 14.0288 4.47382	0	-0.573936	
2.51806	-1.11674e-08 -2.34916e-08	25.4999 15.0557 13.8769 4.31035	65.3964 32.9615 13.8769 4.31035	65.3964 32.9615 13.8769 4.31035	0	-0.573936	
2.51906	-1.11103e-08  -2.3371e-08	25.4999 15.0557 13.8769 4.31035	65.3964 32.9615 13.8769 4.31035	65.3964 32.9615 13.8769 4.31035	0	-0.573936	
2.52006	-1.10488e-08 -2.32413e-08	25.4999 15.0557 13.8769 4.31035	65.3964 32.9615 13.8769 4.31035	65.3964 32.9615 13.8769 4.31035	0	-0.573936	
2.52106	-1.09837e-08 -2.31038e-08	25.4999 15.0557 13.8769 4.31035	65.3964 32.9615 13.8769 4.31035	26.3669 16.8377 14.0288 4.47382	0	-0.573936	
2.52206	-1.09288e-08 -2.29878e-08	25.4999 15.0557 13.8769 4.31035	65.3964 32.9615 13.8769 4.31035	26.3669 16.8377 14.0288 4.47382	0	-0.573936	
2.52306	-1.08668e-08  -2.2857e-08	25.4999 15.0557 13.8769 4.31035	65.3964 32.9615 13.8769 4.31035	65.3964 32.9615 13.8769 4.31035	0	-0.573936	
2.52406	 -1.0806e-08 -2.27285e-08	25.4999 15.0557 13.8769 4.31035	65.3964 32.9615 13.8769 4.31035	65.3964 32.9615 13.8769 4.31035	0	-0.573936	
2.52506	-1.07472e-08 -2.26044e-08	25.4999 15.0557 13.8769 4.31035	65.3964 32.9615 13.8769 4.31035	26.3669 16.8377 14.0288 4.47382	0	-0.573936	
2.52607	-1.06868e-08 -2.24768e-08	25.4999 15.0557 13.8769 4.31035	65.3964 32.9615 13.8769 4.31035	65.3964 32.9615 13.8769 4.31035	0	-0.573936	
2.52706	-1.06258e-08 -2.23478e-08	25.4999 15.0557 13.8769 4.31035	65.3964 32.9615 13.8769 4.31035	65.3964 32.9615 13.8769 4.31035	0	-0.573936	
2.52806	-1.05673e-08 -2.22242e-08	25.4999 15.0557 13.8769 4.31035	65.3964 32.9615 13.8769 4.31035	65.3964 32.9615 13.8769 4.31035	0	-0.573936	
2.52906	-1.05076e-08 -2.20982e-08	25.4999 15.0557 13.8769 4.31035	65.3964 32.9615 13.8769 4.31035	26.3669 16.8377 14.0288 4.47382	0	-0.573936	
2.53006	-1.04423e-08 -2.19602e-08	25.4999 15.0557 13.8769 4.31035	65.3964 32.9615 13.8769 4.31035	26.3669 16.8377 14.0288 4.47382	0	-0.573936	
2.53106	-1.03876e-08 -2.18445e-08	25.4999 15.0557 13.8769 4.31035	65.3964 32.9615 13.8769 4.31035	26.3669 16.8377 14.0288 4.47382	0	-0.573936	
2.53206	-1.03285e-08 -2.17195e-08	25.4999 15.0557 13.8769 4.31035	65.3964 32.9615 13.8769 4.31035	26.3669 16.8377 14.0288 4.47382	0	-0.573936	
2.53306	-1.02653e-08 -2.15861e-08	25.4999 15.0557 13.8769 4.31035	65.3964 32.9615 13.8769 4.31035	65.3964 32.9615 13.8769 4.31035	0	-0.573936	
2.53406	-1.02125e-08 -2.14743e-08	25.4999 15.0557 13.8769 4.31035	65.3964 32.9615 13.8769 4.31035	26.3669 16.8377 14.0288 4.47382	0	-0.573936	
2.53506	-1.01525e-08 -2.13475e-08	25.4999 15.0557 13.8769 4.31035	65.3964 32.9615 13.8769 4.31035	26.3669 16.8377 14.0288 4.47382	0	-0.573936	
2.53606	-1.00901e-08 -2.12155e-08	25.4999 15.0557 13.8769 4.31035	65.3964 32.9615 13.8769 4.31035	65.3964 32.9615 13.8769 4.31035	0	-0.573936	
2.53706	-1.00378e-08  -2.1105e-08	25.4999 15.0557 13.8769 4.31035	65.3964 32.9615 13.8769 4.31035	26.3669 16.8377 14.0288 4.47382	0	-0.573936	
2.53806	-9.97988e-09 -2.09824e-08	25.4999 15.0557 13.8769 4.31035	65.3964 32.9615 13.8769 4.31035	26.3669 16.8377 14.0288 4.47382	0	-0.573936	
2.53906	-9.92093e-09 -2.08577e-08	25.4999 15.0557 13.8769 4.31035	65.3964 32.9615 13.8769 4.31035	26.3669 16.8377 14.0288 4.47382	0	-0.573936	
2.54006	-9.86362e-09 -2.07365e-08	25.4999 15.0557 13.8769 4.31035	65.3964 32.9615 13.8769 4.31035	26.3669 16.8377 14.0288 4.47382	0	-0.573936	
2.54106	-9.80764e-09  -2.0618e-08	25.4999 15.0557 13.8769 4.31035	65.3964 32.9615 13.8769 4.31035	26.3669 16.8377 14.0288 4.47382	0	-0.573936	
2.54206	-9.75025e-09 -2.04966e-08	25.4999 15.0557 13.8769 4.31035	65.3964 32.9615 13.8769 4.31035	26.3669 16.8377 14.0288 4.47382	0	-0.573936	
2.54306	-9.69246e-09 -2.03743e-08	25.4999 15.0557 13.8769 4.31035	65.3964 32.9615 13.8769 4.31035	26.3669 16.8377 14.0288 4.47382	0	-0.573936	
2.54406	-9.63151e-09 -2.02453e-08	25.4999 15.0557 13.8769 4.31035	65.3964 32.9615 13.8769 4.31035	65.3964 32.9615 13.8769 4.31035	0	-0.573936	
2.54506	-9.58068e-09 -2.01377e-08	25.4999 15.0557 13.8769 4.31035	65.3964 32.9615 13.8769 4.31035	26.3669 16.8377 14.0288 4.47382	0	-0.573936	
2.54606	-9.52443e-09 -2.00187e-08	25.4999 15.0557 13.8769 4.31035	65.3964 32.9615 13.8769 4.31035	26.3669 16.8377 14.0288 4.47382	0	-0.573936	
2.54707	-9.46831e-09 -1.98999e-08	25.4999 15.0557 13.8769 4.31035	65.3964 32.9615 13.8769 4.31035	26.3669 16.8377 14.0288 4.47382	0	-0.573936	
2.54806	-9.41107e-09 -1.97787e-08	25.4999 15.0557 13.8769 4.31035	65.3964 32.9615 13.8769 4.31035	26.3669 16.8377 14.0288 4.47382	0	-0.573936	
2.54906	-9.35683e-09 -1.96639e-08	25.4999 15.0557 13.8769 4.31035	65.3964 32.9615 13.8769 4.31035	26.3669 16.8377 14.0288 4.47382	0	-0.573936	
2.55006	 -9.2959e-09 -1.95349e-08	25.4999 15.0557 13.8769 4.31035	65.3964 32.9615 13.8769 4.31035	26.3669 16.8377 14.0288 4.47382	0	-0.573936	
2.55106	-9.24494e-09  -1.9427e-08	25.4999 15.0557 13.8769 4.31035	65.3964 32.9615 13.8769 4.31035	65.3964 32.9615 13.8769 4.31035	0	-0.573936	
2.55206	-9.18972e-09   -1.931e-08	25.4999 15.0557 13.8769 4.31035	65.3964 32.9615 13.8769 4.31035	65.3964 32.9615 13.8769 4.31035	0	-0.573936	
2.55306	-9.13632e-09 -1.91969e-08	25.4999 15.0557 13.8769 4.31035	65.3964 32.9615 13.8769 4.31035	26.3669 16.8377 14.0288 4.47382	0	-0.573936	
2.55406	-9.08715e-09 -1.90928e-08	25.4999 15.0557 13.8769 4.31035	65.3964 32.9615 13.8769 4.31035	26.3669 16.8377 14.0288 4.47382	0	-0.573936	
2.55506	-9.02192e-09 -1.89547e-08	25.4999 15.0557 13.8769 4.31035	65.3964 32.9615 13.8769 4.31035	65.3964 32.9615 13.8769 4.31035	0	-0.573936	
2.55606	-8.96772e-09 -1.88399e-08	25.4999 15.0557 13.8769 4.31035	65.3964 32.9615 13.8769 4.31035	65.3964 32.9615 13.8769 4.31035	0	-0.573936	
2.55706	-8.91363e-09 -1.87253e-08	25.4999 15.0557 13.8769 4.31035	65.3964 32.9615 13.8769 4.31035	26.3669 16.8377 14.0288 4.47382	0	-0.573936	
2.55806	 -8.8637e-09 -1.86195e-08	25.4999 15.0557 13.8769 4.31035	65.3964 32.9615 13.8769 4.31035	26.3669 16.8377 14.0288 4.47382	0	-0.573936	
2.55907	 -8.8113e-09 -1.85085e-08	25.4999 15.0557 13.8769 4.31035	65.3964 32.9615 13.8769 4.31035	65.3964 32.9615 13.8769 4.31035	0	-0.573936	
2.56006	-8.75286e-09 -1.83846e-08	25.4999 15.0557 13.8769 4.31035	65.3964 32.9615 13.8769 4.31035	65.3964 32.9615 13.8769 4.31035	0	-0.573936	
2.56106	 -8.7051e-09 -1.82834e-08	25.4999 15.0557 13.8769 4.31035	65.3964 32.9615 13.8769 4.31035	26.3669 16.8377 14.0288 4.47382	0	-0.573936	
2.56206	-8.65198e-09 -1.81708e-08	25.4999 15.0557 13.8769 4.31035	65.3964 32.9615 13.8769 4.31035	26.3669 16.8377 14.0288 4.47382	0	-0.573936	
2.56306	-8.59695e-09 -1.80542e-08	25.4999 15.0557 13.8769 4.31035	65.3964 32.9615 13.8769 4.31035	65.3964 32.9615 13.8769 4.31035	0	-0.573936	
2.56406	-8.54509e-09 -1.79443e-08	25.4999 15.0557 13.8769 4.31035	65.3964 32.9615 13.8769 4.31035	65.3964 32.9615 13.8769 4.31035	0	-0.573936	
2.56506	-8.48888e-09 -1.78252e-08	25.4999 15.0557 13.8769 4.31035	65.3964 32.9615 13.8769 4.31035	65.3964 32.9615 13.8769 4.31035	0	-0.573936	
2.56606	-8.44064e-09 -1.77229e-08	25.4999 15.0557 13.8769 4.31035	65.3964 32.9615 13.8769 4.31035	65.3964 32.9615 13.8769 4.31035	0	-0.573936	
2.56707	-8.38868e-09 -1.76128e-08	25.4999 15.0557 13.8769 4.31035	65.3964 32.9615 13.8769 4.31035	65.3964 32.9615 13.8769 4.31035	0	-0.573936	
2.56806	 -8.3368e-09 -1.75027e-08	25.4999 15.0557 13.8769 4.31035	65.3964 32.9615 13.8769 4.31035	65.3964 32.9615 13.8769 4.31035	0	-0.573936	
2.56906	-8.28178e-09 -1.73861e-08	25.4999 15.0557 13.8769 4.31035	65.3964 32.9615 13.8769 4.31035	65.3964 32.9615 13.8769 4.31035	0	-0.573936	
2.57006	-8.23041e-09 -1.72772e-08	25.4999 15.0557 13.8769 4.31035	65.3964 32.9615 13.8769 4.31035	26.3669 16.8377 14.0288 4.47382	0	-0.573936	
2.57106	-8.17925e-09 -1.71687e-08	25.4999 15.0557 13.8769 4.31035	65.3964 32.9615 13.8769 4.31035	65.3964 32.9615 13.8769 4.31035	0	-0.573936	
2.57206	-8.13176e-09  -1.7068e-08	25.4999 15.0557 13.8769 4.31035	65.3964 32.9615 13.8769 4.31035	65.3964 32.9615 13.8769 4.31035	0	-0.573936	
2.57306	-8.07751e-09 -1.69529e-08	25.4999 15.0557 13.8769 4.31035	65.3964 32.9615 13.8769 4.31035	65.3964 32.9615 13.8769 4.31035	0	-0.573936	
2.57406	-8.03062e-09 -1.68534e-08	25.4999 15.0557 13.8769 4.31035	65.3964 32.9615 13.8769 4.31035	65.3964 32.9615 13.8769 4.31035	0	-0.573936	
2.57507	-7.98153e-09 -1.67493e-08	25.4999 15.0557 13.8769 4.31035	65.3964 32.9615 13.8769 4.31035	65.3964 32.9615 13.8769 4.31035	0	-0.573936	
2.57607	-7.93166e-09 -1.66435e-08	25.4999 15.0557 13.8769 4.31035	65.3964 32.9615 13.8769 4.31035	26.3669 16.8377 14.0288 4.47382	0	-0.573936	
2.57707	-7.88169e-09 -1.65375e-08	25.4999 15.0557 13.8769 4.31035	65.3964 32.9615 13.8769 4.31035	26.3669 16.8377 14.0288 4.47382	0	-0.573936	
2.5781	-7.84086e-09  -1.6451e-08	25.4999 15.0557 13.8769 4.31035	65.3964 32.9615 13.8769 4.31035	26.3669 16.8377 14.0288 4.47382	0	-0.573936	
2.5791	-7.79725e-09 -1.63585e-08	25.4999 15.0557 13.8769 4.31035	65.3964 32.9615 13.8769 4.31035	26.3669 16.8377 14.0288 4.47382	0	-0.573936	
2.5801	-7.73222e-09 -1.62205e-08	25.4999 15.0557 13.8769 4.31035	65.3964 32.9615 13.8769 4.31035	26.3669 16.8377 14.0288 4.47382	0	-0.573936	
2.5811	-7.68386e-09  -1.6118e-08	25.4999 15.0557 13.8769 4.31035	65.3964 32.9615 13.8769 4.31035	26.3669 16.8377 14.0288 4.47382	0	-0.573936	
2.5821	-7.63406e-09 -1.60124e-08	25.4999 15.0557 13.8769 4.31035	65.3964 32.9615 13.8769 4.31035	26.3669 16.8377 14.0288 4.47382	0	-0.573936	
2.5831	 -7.5866e-09 -1.59117e-08	25.4999 15.0557 13.8769 4.31035	65.3964 32.9615 13.8769 4.31035	26.3669 16.8377 14.0288 4.47382	0	-0.573936	
2.5841	-7.53802e-09 -1.58088e-08	25.4999 15.0557 13.8769 4.31035	65.3964 32.9615 13.8769 4.31035	26.3669 16.8377 14.0288 4.47382	0	-0.573936	
2.5851	-7.49372e-09 -1.57149e-08	25.4999 15.0557 13.8769 4.31035	65.3964 32.9615 13.8769 4.31035	26.3669 16.8377 14.0288 4.47382	0	-0.573936	
2.5861	-7.46016e-09  -1.5644e-08	25.4999 15.0557 13.8769 4.31035	65.3964 32.9615 13.8769 4.31035	26.3669 16.8377 14.0288 4.47382	0	-0.573936	
2.58711	-7.39285e-09 -1.55011e-08	25.4999 15.0557 13.8769 4.31035	65.3964 32.9615 13.8769 4.31035	26.3669 16.8377 14.0288 4.47382	0	-0.573936	
2.58809	-7.34903e-09 -1.54083e-08	25.4999 15.0557 13.8769 4.31035	65.3964 32.9615 13.8769 4.31035	26.3669 16.8377 14.0288 4.47382	0	-0.573936	
2.58911	-7.29429e-09 -1.52923e-08	25.4999 15.0557 13.8769 4.31035	65.3964 32.9615 13.8769 4.31035	26.3669 16.8377 14.0288 4.47382	0	-0.573936	
2.59011	-7.25443e-09 -1.52078e-08	25.4999 15.0557 13.8769 4.31035	65.3964 32.9615 13.8769 4.31035	26.3669 16.8377 14.0288 4.47382	0	-0.573936	
2.59111	-7.20364e-09 -1.51002e-08	25.4999 15.0557 13.8769 4.31035	65.3964 32.9615 13.8769 4.31035	26.3669 16.8377 14.0288 4.47382	0	-0.573936	
2.59211	-7.15789e-09 -1.50033e-08	25.4999 15.0557 13.8769 4.31035	65.3964 32.9615 13.8769 4.31035	26.3669 16.8377 14.0288 4.47382	0	-0.573936	
2.5931	-7.10675e-09 -1.48949e-08	25.4999 15.0557 13.8769 4.31035	65.3964 32.9615 13.8769 4.31035	26.3669 16.8377 14.0288 4.47382	0	-0.573936	
2.59411	-7.07207e-09 -1.48216e-08	25.4999 15.0557 13.8769 4.31035	65.3964 32.9615 13.8769 4.31035	26.3669 16.8377 14.0288 4.47382	0	-0.573936	
2.5951	-7.02669e-09 -1.47254e-08	25.4999 15.0557 13.8769 4.31035	65.3964 32.9615 13.8769 4.31035	26.3669 16.8377 14.0288 4.47382	0	-0.573936	
2.5961	-6.98096e-09 -1.46285e-08	25.4999 15.0557 13.8769 4.31035	65.3964 32.9615 13.8769 4.31035	26.3669 16.8377 14.0288 4.47382	0	-0.573936	
2.59711	-6.92608e-09 -1.45122e-08	25.4999 15.0557 13.8769 4.31035	65.3964 32.9615 13.8769 4.31035	26.3669 16.8377 14.0288 4.47382	0	-0.573936	
2.5981	-6.88964e-09 -1.44351e-08	25.4999 15.0557 13.8769 4.31035	65.3964 32.9615 13.8769 4.31035	26.3669 16.8377 14.0288 4.47382	0	-0.573936	
2.59907	-6.84883e-09 -1.43489e-08	25.4999 15.0557 13.8769 4.31035	65.3964 32.9615 13.8769 4.31035	26.3669 16.8377 14.0288 4.47382	0	-0.573936	
2.60007	-6.79538e-09 -1.42356e-08	25.4999 15.0557 13.8769 4.31035	65.3964 32.9615 13.8769 4.31035	26.3669 16.8377 14.0288 4.47382	0	-0.573936	
2.60106	-6.74609e-09 -1.41312e-08	25.4999 15.0557 13.8769 4.31035	65.3964 32.9615 13.8769 4.31035	26.3669 16.8377 14.0288 4.47382	0	-0.573936	
2.60206	-6.70379e-09 -1.40418e-08	25.4999 15.0557 13.8769 4.31035	65.3964 32.9615 13.8769 4.31035	65.3964 32.9615 13.8769 4.31035	0	-0.573936	
2.60306	-6.65682e-09 -1.39424e-08	25.4999 15.0557 13.8769 4.31035	65.3964 32.9615 13.8769 4.31035	65.3964 32.9615 13.8769 4.31035	0	-0.573936	
2.6041	 -6.6116e-09 -1.38467e-08	25.4999 15.0557 13.8769 4.31035	65.3964 32.9615 13.8769 4.31035	26.3669 16.8377 14.0288 4.47382	0	-0.573936	
2.60511	-6.56818e-09 -1.37549e-08	25.4999 15.0557 13.8769 4.31035	65.3964 32.9615 13.8769 4.31035	26.3669 16.8377 14.0288 4.47382	0	-0.573936	
2.60611	-6.52294e-09 -1.36592e-08	25.4999 15.0557 13.8769 4.31035	65.3964 32.9615 13.8769 4.31035	26.3669 16.8377 14.0288 4.47382	0	-0.573936	
2.60711	-6.47965e-09 -1.35676e-08	25.4999 15.0557 13.8769 4.31035	65.3964 32.9615 13.8769 4.31035	26.3669 16.8377 14.0288 4.47382	0	-0.573936	
2.60812	-6.44158e-09  -1.3487e-08	25.4999 15.0557 13.8769 4.31035	65.3964 32.9615 13.8769 4.31035	26.3669 16.8377 14.0288 4.47382	0	-0.573936	
2.6091	-6.38962e-09 -1.33771e-08	25.4999 15.0557 13.8769 4.31035	65.3964 32.9615 13.8769 4.31035	26.3669 16.8377 14.0288 4.47382	0	-0.573936	
2.61011	-6.34979e-09 -1.32928e-08	25.4999 15.0557 13.8769 4.31035	65.3964 32.9615 13.8769 4.31035	26.3669 16.8377 14.0288 4.47382	0	-0.573936	
2.61111	-6.30666e-09 -1.32016e-08	25.4999 15.0557 13.8769 4.31035	65.3964 32.9615 13.8769 4.31035	26.3669 16.8377 14.0288 4.47382	0	-0.573936	
2.61211	-6.26401e-09 -1.31114e-08	25.4999 15.0557 13.8769 4.31035	65.3964 32.9615 13.8769 4.31035	26.3669 16.8377 14.0288 4.47382	0	-0.573936	
2.61307	-6.21845e-09  -1.3015e-08	25.4999 15.0557 13.8769 4.31035	65.3964 32.9615 13.8769 4.31035	26.3669 16.8377 14.0288 4.47382	0	-0.573936	
2.61411	-6.17875e-09 -1.29309e-08	25.4999 15.0557 13.8769 4.31035	65.3964 32.9615 13.8769 4.31035	26.3669 16.8377 14.0288 4.47382	0	-0.573936	
2.61512	-6.13699e-09 -1.28426e-08	25.4999 15.0557 13.8769 4.31035	65.3964 32.9615 13.8769 4.31035	26.3669 16.8377 14.0288 4.47382	0	-0.573936	
2.61607	-6.09433e-09 -1.27523e-08	25.4999 15.0557 13.8769 4.31035	65.3964 32.9615 13.8769 4.31035	26.3669 16.8377 14.0288 4.47382	0	-0.573936	
2.61706	-6.05035e-09 -1.26591e-08	25.4999 15.0557 13.8769 4.31035	65.3964 32.9615 13.8769 4.31035	26.3669 16.8377 14.0288 4.47382	0	-0.573936	
2.61806	-6.00915e-09 -1.25719e-08	25.4999 15.0557 13.8769 4.31035	65.3964 32.9615 13.8769 4.31035	65.3964 32.9615 13.8769 4.31035	0	-0.573936	
2.61906	-5.96787e-09 -1.24845e-08	25.4999 15.0557 13.8769 4.31035	65.3964 32.9615 13.8769 4.31035	65.3964 32.9615 13.8769 4.31035	0	-0.573936	
2.62011	-5.92962e-09 -1.24036e-08	25.4999 15.0557 13.8769 4.31035	65.3964 32.9615 13.8769 4.31035	26.3669 16.8377 14.0288 4.47382	0	-0.573936	
2.62111	-5.88787e-09 -1.23152e-08	25.4999 15.0557 13.8769 4.31035	65.3964 32.9615 13.8769 4.31035	26.3669 16.8377 14.0288 4.47382	0	-0.573936	
2.62211	-5.84779e-09 -1.22303e-08	25.4999 15.0557 13.8769 4.31035	65.3964 32.9615 13.8769 4.31035	26.3669 16.8377 14.0288 4.47382	0	-0.573936	
2.62311	-5.80657e-09 -1.21431e-08	25.4999 15.0557 13.8769 4.31035	65.3964 32.9615 13.8769 4.31035	26.3669 16.8377 14.0288 4.47382	0	-0.573936	
2.62411	-5.76806e-09 -1.20615e-08	25.4999 15.0557 13.8769 4.31035	65.3964 32.9615 13.8769 4.31035	26.3669 16.8377 14.0288 4.47382	0	-0.573936	
2.62507	  -5.727e-09 -1.19746e-08	25.4999 15.0557 13.8769 4.31035	65.3964 32.9615 13.8769 4.31035	26.3669 16.8377 14.0288 4.47382	0	-0.573936	
2.62611	-5.68695e-09 -1.18898e-08	25.4999 15.0557 13.8769 4.31035	65.3964 32.9615 13.8769 4.31035	26.3669 16.8377 14.0288 4.47382	0	-0.573936	
2.62711	-5.64717e-09 -1.18056e-08	25.4999 15.0557 13.8769 4.31035	65.3964 32.9615 13.8769 4.31035	26.3669 16.8377 14.0288 4.47382	0	-0.573936	
2.62811	-5.60745e-09 -1.17215e-08	25.4999 15.0557 13.8769 4.31035	65.3964 32.9615 13.8769 4.31035	26.3669 16.8377 14.0288 4.47382	0	-0.573936	
2.62911	 -5.5684e-09 -1.16388e-08	25.4999 15.0557 13.8769 4.31035	65.3964 32.9615 13.8769 4.31035	26.3669 16.8377 14.0288 4.47382	0	-0.573936	
2.63011	 -5.5284e-09 -1.15542e-08	25.4999 15.0557 13.8769 4.31035	65.3964 32.9615 13.8769 4.31035	26.3669 16.8377 14.0288 4.47382	0	-0.573936	
2.63111	-5.49011e-09 -1.14731e-08	25.4999 15.0557 13.8769 4.31035	65.3964 32.9615 13.8769 4.31035	26.3669 16.8377 14.0288 4.47382	0	-0.573936	
2.63207	-5.45244e-09 -1.13933e-08	25.4999 15.0557 13.8769 4.31035	65.3964 32.9615 13.8769 4.31035	26.3669 16.8377 14.0288 4.47382	0	-0.573936	
2.63311	-5.41005e-09 -1.13035e-08	25.4999 15.0557 13.8769 4.31035	65.3964 32.9615 13.8769 4.31035	26.3669 16.8377 14.0288 4.47382	0	-0.573936	
2.6341	-5.37558e-09 -1.12305e-08	25.4999 15.0557 13.8769 4.31035	65.3964 32.9615 13.8769 4.31035	26.3669 16.8377 14.0288 4.47382	0	-0.573936	
2.63511	 -5.3362e-09 -1.11472e-08	25.4999 15.0557 13.8769 4.31035	65.3964 32.9615 13.8769 4.31035	26.3669 16.8377 14.0288 4.47382	0	-0.573936	
2.63611	-5.29836e-09 -1.10671e-08	25.4999 15.0557 13.8769 4.31035	65.3964 32.9615 13.8769 4.31035	26.3669 16.8377 14.0288 4.47382	0	-0.573936	
2.63711	-5.26056e-09 -1.09871e-08	25.4999 15.0557 13.8769 4.31035	65.3964 32.9615 13.8769 4.31035	26.3669 16.8377 14.0288 4.47382	0	-0.573936	
2.63811	  -5.224e-09 -1.09097e-08	25.4999 15.0557 13.8769 4.31035	65.3964 32.9615 13.8769 4.31035	26.3669 16.8377 14.0288 4.47382	0	-0.573936	
