Timestep 	 x[2] 	 x_desired[2] 	 command torques[5] 	 f contact[2]
0.137084	  3.28413 -0.299863	  3.31345 -0.187586	 38.2936  33.1239  8.00231  7.39938 -4.26324	-2.82211e-11     -4.91333
0.138082	  3.28507 -0.299871	  3.31403 -0.187586	 38.4147  33.5774  8.36609  7.37963 -4.22139	-2.80984e-11     -5.00928
0.139126	 3.28638 -0.29988	  3.31457 -0.187586	  38.582  34.1905  8.86284  7.36626 -4.16744	-2.7046e-11     -5.1048
0.140124	  3.28739 -0.299889	  3.31512 -0.187586	 38.7062  34.6687  9.28256  7.28561 -4.10815	-2.5492e-11    -5.19288
0.141125	   3.2884 -0.299901	  3.31566 -0.187586	 38.7062  34.6687  9.28256  7.28561 -4.10815	-2.39653e-11      -5.2741
0.142079	  3.28966 -0.299912	  3.31566 -0.187586	 38.8404  35.1453  9.64441  7.30542 -4.07571	-2.16546e-11     -5.35546
0.143084	  3.28966 -0.299912	  3.31626 -0.187586	 38.9986  35.7132  10.1057  7.28981 -4.02527	-1.9537e-11     -5.4367
0.144088	  3.29055 -0.299919	  3.31685 -0.187586	 39.1131  36.1284  10.4389  7.26891 -3.98782	-1.76917e-11     -5.51074
0.145124	  3.29187 -0.299937	  3.31741 -0.187586	 39.2746   36.706  10.9227  7.23033 -3.93082	-1.55837e-11     -5.57817
0.146135	  3.29274 -0.299945	  3.31797 -0.187586	 39.2746   36.706  10.9227  7.23033 -3.93082	-1.32027e-11      -5.6461
0.147085	  3.29406 -0.299957	  3.31797 -0.187586	 39.3884  37.1119  11.2466  7.21174 -3.89567	-1.0371e-11    -5.71431
0.148086	  3.29406 -0.299957	  3.31859 -0.187586	 39.5458  37.6635  11.7047  7.18262 -3.84314	-7.81914e-12     -5.78258
0.149072	  3.29492 -0.299967	  3.31919 -0.187586	39.6548 38.0511 12.0207 7.15239 -3.8067	-6.06752e-12     -5.85075
0.150064	  3.29657 -0.299986	  3.31969 -0.187586	 39.7638  38.4329  12.3222  7.13627 -3.77559	-5.04447e-12     -5.91867
0.151063	   3.2969 -0.299989	  3.32039 -0.187586	 39.9433  39.0651  12.8078  7.10131 -3.72922	-4.00067e-12     -5.98621
0.152094	  3.29781 -0.300002	  3.32078 -0.187586	 40.0619  39.4685  13.1303  7.08288 -3.69628	-2.42089e-12     -6.05326
0.153102	  3.29863 -0.300011	  3.32118 -0.187586	 40.1724   39.842  13.4222  7.07279 -3.66859	-6.2542e-13    -6.11971
0.154061	 3.29937 -0.30002	  3.32159 -0.187586	 40.2671  40.1803  13.7154  7.00673 -3.63035	8.42884e-13    -6.18545
0.155061	  3.30065 -0.300037	   3.3223 -0.187586	 40.3492  40.4538  13.9009  7.02864 -3.62134	1.2849e-12   -6.25037
0.156098	  3.30147 -0.300048	   3.3226 -0.187586	 40.5311  41.0687  14.3701  7.00297 -3.58088	1.3033e-12   -6.31441
0.15711	  3.30223 -0.300056	  3.32327 -0.187586	 40.6076  41.3315  14.5628  6.99295 -3.56649	1.09272e-12    -6.37757
0.158066	  3.30301 -0.300067	  3.32373 -0.187586	 40.7092  41.6636  14.8215  6.98332 -3.54323	1.13091e-12    -6.43976
0.15907	  3.30379 -0.300079	  3.32373 -0.187586	 40.8057  41.9826  15.0836  6.95197 -3.51479	8.41002e-13    -6.50092
0.160117	   3.3046 -0.300076	  3.32463 -0.187586	41.0144 42.6081 15.4861 7.09184 -3.5078	4.20745e-13    -6.56119
0.161087	  3.30537 -0.300064	  3.32513 -0.187586	 41.1033  42.8988  15.7208  7.07059 -3.48354	2.29722e-13    -6.62089
0.162096	  3.30603 -0.300053	  3.32559 -0.187586	 41.1862  43.1719  15.9373  7.05034 -3.46251	4.58963e-14     -6.6799
0.163059	   3.3069 -0.300042	  3.32605 -0.187586	 41.2801  43.4755  16.1965  7.01033 -3.43208	-1.22471e-13     -6.73813
0.164069	  3.30762 -0.300031	  3.32605 -0.187586	 41.2801  43.4755  16.1965  7.01033 -3.43208	-3.11294e-13     -6.79548
0.16508	  3.30838 -0.300022	  3.32651 -0.187586	  41.365   43.749  16.4153  6.99052 -3.41076	-5.24714e-13      -6.8519
0.166072	  3.30898 -0.300013	  3.32696 -0.187586	41.4513 44.0277 16.6477 6.95662 -3.3854	-7.09661e-13      -6.9073
0.167117	  3.30985 -0.300002	  3.32741 -0.187586	 41.5294  44.2817  16.8476   6.9365 -3.36718	-8.7e-13 -6.96162
0.16808	  3.31051 -0.299993	  3.32787 -0.187586	 41.6202   44.565  17.0877  6.90322 -3.34036	-9.98819e-13     -7.01484
0.16907	  3.31109 -0.299986	  3.32878 -0.187586	 41.6988   44.815  17.2886   6.8807 -3.32107	-1.10705e-12     -7.06692
0.170069	  3.31202 -0.299973	  3.32925 -0.187586	 41.7746  45.0613  17.4886  6.84858 -3.30158	-1.21526e-12     -7.11786
0.171068	   3.3127 -0.299965	  3.32971 -0.187586	 41.8643  45.3261  17.7092  6.82905 -3.27865	-1.3308e-12    -7.16767
0.172066	   3.3134 -0.299955	  3.33017 -0.187586	 41.9353  45.5655  17.9428  6.73448 -3.24384	-1.44803e-12     -7.21633
0.173067	  3.31406 -0.299945	  3.33062 -0.187586	 42.0175  45.7991  18.0992  6.77217 -3.23991	-1.57211e-12     -7.26386
0.174092	  3.31478 -0.299937	  3.33108 -0.187586	 42.1679  46.2561  18.4767  6.71554 -3.20273	-1.71959e-12     -7.31023
0.175119	  3.31551 -0.299927	  3.33153 -0.187586	 42.2436  46.4791  18.6578  6.69584 -3.18616	-1.86386e-12     -7.35542
0.176066	  3.31622 -0.299919	  3.33201 -0.187586	 42.2436  46.4791  18.6578  6.69584 -3.18616	-2.01849e-12     -7.39944
0.177123	  3.31682 -0.299911	  3.33244 -0.187586	 42.3859  46.9049  19.0075   6.6418 -3.15347	-2.14764e-12     -7.44229
0.17811	  3.31747 -0.299904	  3.33289 -0.187586	 42.4546  47.1097  19.1798  6.60814 -3.13636	-2.23258e-12     -7.48399
0.179105	   3.3182 -0.299894	  3.33335 -0.187586	 42.5257  47.3098  19.3438  6.58827 -3.12158	-2.29224e-12     -7.52453
0.180107	  3.31887 -0.299887	   3.3338 -0.187586	 42.5928  47.5056  19.5095  6.55478 -3.10521	-2.33274e-12     -7.56395
0.181069	  3.31952 -0.299878	  3.33426 -0.187586	 42.5928  47.5056  19.5095  6.55478 -3.10521	-2.36787e-12     -7.60224
0.182108	  3.32018 -0.299871	  3.33426 -0.187586	 42.6598  47.6959  19.6637  6.53429 -3.09225	-2.43148e-12     -7.63944
0.183102	  3.32076 -0.299864	  3.33515 -0.187586	 42.7894  48.0697  19.9716  6.48011 -3.06534	-2.51307e-12     -7.67553
0.184098	  3.32146 -0.299857	   3.3356 -0.187586	 42.8525   48.243  20.1212  6.44731 -3.05044	-2.62935e-12     -7.71053
0.185064	  3.32209 -0.299849	  3.33608 -0.187586	 42.8525   48.243  20.1212  6.44731 -3.05044	-2.68214e-12      -7.7445
0.186113	  3.32272 -0.299842	   3.3365 -0.187586	 42.9746  48.5819   20.405   6.3906 -3.02534	-2.68602e-12     -7.77745
0.187106	  3.32338 -0.299834	  3.33696 -0.187586	 43.0344  48.7407  20.5354  6.36974 -3.01488	-2.67717e-12     -7.80941
