Timestep 	 x_error[2] 	 command torques[5] 	 f contact[2]
0.110098	0.0447757  0.112277	   35.45  20.6862  -2.3612  8.26225 -5.79948	-6.82596e-11      -6.4931
0.111086	0.0438934  0.112276	 35.6356  21.4764 -1.72942  8.23405 -5.72866	-2.44368e-11     -6.53428
0.11209	0.0432773  0.112275	 35.7857  22.1078 -1.23001  8.20625 -5.67099	2.33887e-10    -6.57004
0.113086	0.0424287  0.112274	  35.9652   22.8635 -0.625503   8.17856  -5.60317	-2.59186e-10     -6.61023
0.114076	0.0416936  0.112273	   36.1302    23.5532 -0.0751883    8.15056   -5.54067	-2.0168e-10    -6.64927
0.115054	0.0410351  0.112272	 36.2853  24.1977 0.437989  8.12242 -5.48192	2.82428e-10     -6.6853
0.116054	0.0403359   0.11227	 36.4438  24.8524 0.960052  8.09517 -5.42271	-1.93467e-10     -6.72207
0.117054	0.0396403  0.112268	 36.5991   25.489  1.46646  8.06947 -5.36573	2.91807e-10    -6.75814
0.118054	0.0393082  0.112267	  36.712  25.9473  1.82349  8.04248 -5.32354	2.95283e-10    -6.78798
0.119054	0.0382996  0.112263	 36.9057  26.7398  2.46493  8.01583 -5.25266	1.08164e-10    -6.82972
0.120054	0.0376454   0.11226	 37.0557  27.3464  2.94934  7.98914 -5.19786	-3.11401e-10     -6.86482
0.121055	0.0371202  0.112258	   37.19  27.8857  3.37717  7.96257 -5.14902	1.22448e-10     -6.8972
0.122056	0.0363866  0.112254	 37.3482  28.5204  3.88752  7.93587 -5.09168	4.76449e-11     -6.9336
0.123138	0.0357924   0.11225	 37.4887  29.0793  4.33346  7.90975 -5.04133	-8.34635e-11     -6.96685
0.124074	0.0352068  0.112246	 37.6291  29.6359  4.77918  7.88252 -4.99069	-2.39018e-10     -7.00007
0.125058	0.0346088  0.112241	  37.768  30.1826  5.21606   7.8569 -4.94164	3.94574e-10     -7.0328
0.126057	0.033852 0.112235	 37.9244  30.7963  5.71213  7.83078 -4.88617	-1.7891e-10    -7.06778
