Timestep 	 x_error[2] 	 command torques[4]
0.141058	0.000550781 0.000620485	67.0175 37.1982 15.9113 4.61869
0.142057	0.000555278 0.000621491	67.0154  37.197 15.9107 4.61853
0.143058	0.000559761 0.000622476	67.0134 37.1958 15.9101 4.61837
0.144057	0.000564231 0.000623441	67.0114 37.1946 15.9096 4.61821
0.145058	0.000568685 0.000624385	67.0095 37.1935  15.909 4.61805
0.146055	0.000573126  0.00062531	67.0075 37.1924 15.9085  4.6179
0.147055	0.000577551 0.000626214	67.0056 37.1912  15.908 4.61774
0.148074	0.000581962 0.000627099	67.0037 37.1901 15.9074  4.6176
0.149117	0.000586358 0.000627966	67.0018  37.189 15.9069 4.61745
0.150093	0.000590739 0.000628813	     67  37.188 15.9064  4.6173
0.151094	0.000595105 0.000629642	66.9982 37.1869 15.9059 4.61716
0.152059	0.000599455 0.000630452	66.9964 37.1858 15.9054 4.61702
0.153056	 0.00060379 0.000631245	66.9946 37.1848 15.9049 4.61688
0.154055	 0.00060854 0.000632097	66.9927 37.1837 15.9044 4.61673
0.155054	0.000612842 0.000632853	66.9909 37.1827 15.9039  4.6166
0.156055	0.000616701 0.000633518	66.9894 37.1818 15.9035 4.61648
0.157054	0.000620972 0.000634242	66.9877 37.1808 15.9031 4.61635
0.158056	0.000625228 0.000634949	 66.986 37.1798 15.9026 4.61623
0.159055	0.000629467  0.00063564	66.9844 37.1788 15.9022  4.6161
0.160055	0.000633691 0.000636315	66.9827 37.1779 15.9017 4.61598
0.161066	0.000637898 0.000636974	66.9811 37.1769 15.9013 4.61586
0.162098	0.000642506 0.000637681	66.9794 37.1759 15.9008 4.61572
0.163104	0.000646678 0.000638307	66.9778  37.175 15.9004 4.61561
0.164104	0.000650834 0.000638919	66.9762 37.1741    15.9 4.61549
0.165106	0.000654972 0.000639515	66.9747 37.1732 15.8996 4.61538
0.166105	0.000659094 0.000640097	66.9732 37.1723 15.8992 4.61527
0.167107	0.000663199 0.000640665	66.9717 37.1714 15.8988 4.61515
0.168105	0.000667287 0.000641219	66.9702 37.1706 15.8984 4.61505
0.169116	0.000670952 0.000641705	66.9689 37.1698 15.8981 4.61495
0.170106	0.000675412 0.000642285	66.9673 37.1689 15.8976 4.61483
0.171104	0.000679449 0.000642797	66.9659 37.1681 15.8973 4.61473
0.172092	0.000683468 0.000643297	66.9645 37.1672 15.8969 4.61463
0.173109	0.000687071 0.000643735	66.9632 37.1665 15.8966 4.61454
0.174093	0.000691058  0.00064421	66.9619 37.1657 15.8962 4.61444
0.175093	0.000695027 0.000644672	66.9605 37.1649 15.8959 4.61434
