Timestep 	 x_error[2] 	 command torques[4] 	 f contact[2]
0.0970594	0.0485535  0.102048	  14.1235   2.65323  -10.0427 -0.987028	-0 -0
0.0980934	0.0490124  0.104095	  14.1039   2.64689  -10.0208 -0.974865	-0 -0
0.0990559	0.0494719  0.106161	  14.0846    2.6407  -9.99836 -0.962675	-0 -0
0.100096	0.0499271  0.108455	  14.0659   2.63472  -9.97537 -0.950488	-0 -0
0.101066	0.0503862  0.110349	  14.0289   2.61505  -9.95722 -0.942522	-0 -0
0.102059	0.0505751  0.112274	 14.0335  2.62504 -9.92594 -0.92651	-9.09477e-09     -9.63143
0.103058	0.0504527  0.112274	 65.6342  29.5414  15.7626 -2.52219	-4.14624e-10     -4.69337
0.104058	0.0488921  0.112272	 65.3924  29.3882  15.6463 -2.55165	3.09437e-10    -4.76074
0.10506	0.048173 0.112271	 65.0375  29.1857  15.4722 -2.56518	-2.06234e-10     -4.82779
0.106058	0.0473759   0.11227	 64.6903  28.9809  15.3028 -2.58706	-4.09046e-10     -4.90096
0.107058	0.0466089  0.112269	 64.3419  28.7772  15.1324 -2.60678	-4.944e-10   -4.97211
0.108058	0.0458503  0.112268	 63.9967  28.5755  14.9635 -2.62618	-1.02882e-10     -5.04218
0.10906	0.0450939  0.112266	 63.6539  28.3753  14.7956 -2.64541	-3.78537e-10      -5.1115
0.110072	0.0448109  0.112265	 62.9757  27.9803  14.4632 -2.68243	1.82608e-10    -5.17985
0.11106	0.0436027  0.112264	 62.9757  27.9803  14.4632 -2.68243	3.75944e-10    -5.24693
0.11206	0.0429215  0.112262	 62.6375  27.7838  14.2972 -2.70039	-3.44066e-10     -5.31329
0.113059	0.0422591  0.112261	 62.3046  27.5898  14.1338 -2.71879	2.88975e-10    -5.37984
0.114058	0.0414379   0.11226	  61.974  27.3969  13.9714 -2.73755	2.03007e-10    -5.44547
0.115058	0.0407599  0.112258	 61.6428  27.2073  13.8082 -2.75172	-1.00425e-10     -5.50696
0.116058	0.040084 0.112257	 61.3162   27.018  13.6475 -2.76876	-1.039e-10   -5.56997
0.117059	0.0394188  0.112255	60.9919 26.8303 13.4878 -2.7854	1.29635e-10    -5.63203
0.11806	 0.03879 0.112254	 60.6709  26.6446  13.3297 -2.80188	-4.42568e-11     -5.69295
0.119058	0.0382257  0.112252	 60.3508  26.4592  13.1719 -2.81854	3.93813e-10    -5.75428
0.120056	0.0375312  0.112251	 60.0359  26.2761  13.0168 -2.83596	3.20743e-10    -5.81441
0.121056	0.0369455  0.112249	59.7213 26.0957 12.8613 -2.8503	6.86462e-11    -5.87183
0.122093	0.0363181  0.112247	 59.4118  25.9164  12.7086 -2.86671	7.64075e-11     -5.9304
0.123094	0.0357221  0.112246	59.1021 25.7383 12.5555 -2.8816	-4.40933e-10     -5.98744
0.124101	0.0356033  0.112244	 58.7962  25.5623  12.4042 -2.89646	-2.74184e-10     -6.04371
0.125059	0.0345367  0.112242	 58.4931  25.3881  12.2542 -2.91107	-8.21951e-12     -6.09918
0.126093	0.0339574  0.112241	 58.1927  25.2155  12.1055 -2.92548	1.09774e-10    -6.15387
0.1271	0.033387 0.112239	  57.895  25.0447  11.9581 -2.93965	-4.02215e-10      -6.2078
0.128099	0.0328018  0.112237	 57.6017  24.8762  11.8127 -2.95384	3.10325e-10    -6.26102
0.129059	0.0322818  0.112235	  57.307  24.7078  11.6665 -2.96707	1.57471e-11    -6.31319
0.130093	0.0316994  0.112233	 57.018  24.542 11.5231 -2.9809	1.47916e-10    -6.36529
0.131061	0.0311809  0.112232	 56.7312  24.3785  11.3807 -2.99355	3.54406e-10     -6.4155
0.132095	0.0306553   0.11223	 56.4477  24.2159  11.2399 -3.00715	8.76696e-11      -6.466
0.133059	0.0301373  0.112228	 56.1667  24.0553  11.1003 -3.02016	4.52585e-11    -6.51549
0.13406	0.0296279  0.112226	 55.8884  23.8963  10.9619 -3.03297	8.2102e-11   -6.56427
0.135059	0.0291297  0.112224	 55.6148  23.7398  10.8258 -3.04585	1.10824e-10    -6.61222
0.136056	0.0286549  0.112225	 55.3405  23.5832  10.6894 -3.05845	-0 -0
0.137055	0.0281604  0.112237	 54.9809  23.4031  10.5069 -3.04257	2.55329e-10     -6.6908
0.138094	0.0276999  0.112242	 54.7453  23.2673  10.3897 -3.05546	4.53467e-11    -6.73383
0.139091	0.0272341  0.112247	 54.4821  23.1168  10.2585 -3.06812	-8.36923e-11     -6.77962
0.140093	0.0267759  0.112252	 54.2214  22.9681  10.1286 -3.08034	-2.29724e-11     -6.82455
0.141066	0.0263249  0.112257	53.9635  22.821 9.99999 -3.0924	3.46738e-11    -6.86884
0.142095	0.0258824  0.112262	53.7084 22.6756 9.87268 -3.1043	-1.55036e-10     -6.91248
0.143093	0.0254448  0.112267	 53.4562  22.5319   9.7468 -3.11608	-2.61203e-10      -6.9555
0.144065	0.0250173  0.112272	 53.2066  22.3898  9.62215 -3.12767	-9.01732e-11     -6.99788
0.145104	0.0246646  0.112276	  52.961  22.2498  9.49949 -3.13931	3.39013e-10     -7.0397
0.146094	0.0241558  0.112282	 52.7158  22.1093   9.3771 -3.15177	-2.37805e-11     -7.08204
0.147092	0.0237405  0.112287	 52.4742  21.9736  9.25604 -3.16108	      -0 -7.12111
0.148092	0.0233374  0.112292	 52.2358   21.838  9.13679 -3.17216	1.12066e-10     -7.1611
0.149059	0.0229599  0.112297	      52   21.704  9.01879 -3.18304	2.41281e-11    -7.20038
0.150093	0.022589 0.112301	51.7671 21.5715 8.90223 -3.1941	-6.86782e-11     -7.23932
0.15106	0.022205 0.112306	 51.5368  21.4405  8.78695 -3.20503	3.00281e-10    -7.27778
0.152059	0.0217984  0.112311	 51.3107   21.312  8.67372 -3.21573	4.72713e-10     -7.3155
0.153058	0.0214623  0.112316	 51.0838  21.1837  8.55995 -3.22566	-2.57783e-10     -7.35236
0.154095	0.0210773  0.112321	50.8616 21.0574 8.44858 -3.2362	-1.2735e-10    -7.38923
0.155093	0.0207372  0.112326	 50.6417  20.9331  8.33825 -3.24602	-3.34014e-10     -7.42494
0.156094	0.020387 0.112332	 50.4247  20.8098  8.22941 -3.25631	-3.73683e-11     -7.46051
0.157067	0.0200426  0.112337	 50.1986  20.6823  8.11589 -3.26599	4.17203e-12    -7.49654
0.158093	0.0197035  0.112342	 49.9868  20.5624  8.00954 -3.27578	4.4843e-10   -7.53098
0.159059	0.0193538  0.112348	 49.7795  20.4447  7.90547 -3.28571	1.38909e-10    -7.56489
0.160097	0.0190256  0.112353	 49.5729  20.3278  7.80167 -3.29532	2.87463e-10    -7.59835
0.161112	0.0187932  0.112358	  49.367  20.2115  7.69816 -3.30456	8.48994e-12     -7.6313
0.162093	0.0183848  0.112364	 49.1649  20.0963  7.59667 -3.31483	-3.58054e-10      -7.6646
0.163092	0.0180648  0.112369	 48.9666  19.9853  7.49676 -3.32285	1.88259e-10    -7.69548
0.164092	0.017771 0.112374	 48.7703  19.8743  7.39799 -3.33205	-2.57691e-11     -7.72693
0.165057	0.017454 0.112379	 48.5764  19.7645  7.30046 -3.34133	8.62146e-11    -7.75814
0.166094	0.0175989  0.112384	 48.1971  19.5502  7.10949 -3.35914	2.9417e-10   -7.78856
0.167094	0.017306 0.112389	 48.0103  19.4447  7.01537 -3.36789	7.81375e-11    -7.81863
0.168063	0.0165701  0.112397	 48.0103  19.4447  7.01537 -3.36789	1.22576e-10    -7.84819
0.169094	0.016743 0.112402	 47.6393  19.2354  6.82841 -3.38513	1.23039e-10    -7.87793
0.170095	0.0164632  0.112407	 47.4598  19.1341  6.73792 -3.39364	1.01431e-10    -7.90664
0.171058	0.015767 0.112412	 47.4598  19.1341  6.73792 -3.39364	-3.27485e-10     -7.93488
0.1721	0.0155174  0.112417	 47.2808  19.0329  6.64768 -3.40223	2.70887e-10     -7.9631
